voter_id,district,age_band,race,turnout_history,gender,education,treatment,prior_turnout_rate,donor_propensity,digital_engagement,contactability_score,issue_salience_score,action_taken,donated,pledged_to_vote,clicked_message,message_label,age_order
44,TX-32,18-29,White,Low,Male,High school,future_forward,0.5836500874002714,0.20129808736589597,0.5143848998042012,30.956641519710615,57.4008416148785,1,0,0,1,Future Forward,0
45,PA-07,18-29,White,Medium,Male,Graduate,community_voice,0.6031573040966597,0.4937020437408894,0.4452763340843093,57.77576453320806,56.2906227362701,1,0,1,0,Community Voice,0
46,TX-32,65+,Black,Low,Female,High school,community_voice,0.7072596213646167,0.32293841867266726,0.5404815067911666,56.088240227310564,62.576723388261826,1,1,1,1,Community Voice,3
47,AZ-01,18-29,Latino,Low,Female,College+,economic_security,0.744675848833326,0.3135503777287811,0.3699365526520528,62.61102482568814,85.60840747160822,1,0,1,1,Economic Security,0
48,NC-13,65+,Multi/Other,Low,Male,College+,future_forward,0.6960620429070523,0.21654548696378242,0.43325833731809127,71.85299453689505,46.297487655712864,0,0,0,0,Future Forward,3
49,NC-13,65+,White,Medium,Female,College+,economic_security,0.7590876068705512,0.3703921629548712,0.3621307015129412,72.15973529601459,45.314880571730214,1,0,0,1,Economic Security,3
50,WI-03,30-44,White,Low,Female,Graduate,community_voice,0.98,0.2867203824769659,0.47644815550705377,69.75411249639912,78.57369226774263,1,0,1,0,Community Voice,1
51,MI-08,30-44,White,Low,Female,Some college,community_voice,0.6535906704563521,0.09798573471618445,0.6542845244804147,64.30032349901381,39.0737884476097,0,0,0,0,Community Voice,1
52,PA-07,18-29,Latino,Medium,Male,High school,control,0.3681431472284128,0.2181495572372081,0.05880941725170874,46.89204190861326,76.65064197758679,1,0,0,0,Control,0
53,AZ-01,45-64,Asian,High,Female,Some college,control,0.48442419628115524,0.1239819423480824,0.14690027328666827,54.39605476055238,66.53538258731304,0,0,0,0,Control,2
54,MI-08,45-64,White,Medium,Female,Graduate,future_forward,0.2614935036349075,0.40427291183027875,0.26537203046955643,81.00143805880931,30.379385972486325,1,0,0,0,Future Forward,2
55,MI-08,45-64,Black,High,Female,High school,community_voice,0.20585335848447983,0.28039468190726835,0.48276730208853136,74.83307575571395,47.81050275315951,1,0,1,1,Community Voice,2
56,GA-06,45-64,White,Medium,Male,Graduate,community_voice,0.5893136198200962,0.17403998118402322,0.14747629371219484,67.9379634526742,22.99022270872537,0,0,0,1,Community Voice,2
57,TX-32,30-44,White,High,Female,Some college,future_forward,0.43140068773599854,0.39508348071459365,0.1787493864910428,62.735589923068986,47.96678188524773,0,0,0,0,Future Forward,1
58,MI-08,30-44,Asian,Low,Female,College+,economic_security,0.3113405565288295,0.2280840954481045,0.2660646847600209,56.73176950009677,29.43050745676834,0,0,0,1,Economic Security,1
59,WI-03,45-64,White,High,Male,Some college,future_forward,0.7040069807305619,0.4264620957816319,0.8936824230554004,59.62562148647397,64.55130541336199,1,0,1,1,Future Forward,2
60,PA-07,30-44,Asian,Low,Female,Some college,economic_security,0.17168734859167073,0.2460346736344733,0.6732008911037662,51.106911220127934,58.6755440738811,1,0,1,1,Economic Security,1
61,PA-07,45-64,White,Medium,Female,Graduate,community_voice,0.6720694996970068,0.15770611766926265,0.30578675981575404,43.194291204509184,63.267855952889164,0,0,0,0,Community Voice,2
62,PA-07,18-29,White,Medium,Female,Graduate,future_forward,0.4572129596895926,0.7474558154105211,0.4791356629079984,58.20109464238034,54.43818293868578,1,0,0,1,Future Forward,0
63,PA-07,18-29,White,Medium,Male,College+,control,0.5603368314801265,0.1862984033125857,0.5721569911781432,41.1370413111898,53.06108141407239,0,0,0,0,Control,0
64,GA-06,18-29,White,High,Male,Graduate,future_forward,0.5398477467342463,0.16750107112203014,0.3581990724658646,60.74579017756986,57.2095946778497,0,0,0,0,Future Forward,0
65,NC-13,45-64,White,Low,Male,College+,control,0.46023010491702665,0.16490708133705817,0.6715756425383475,51.649592073698244,37.69075735248639,0,0,0,0,Control,2
66,GA-06,65+,Black,High,Female,Some college,community_voice,0.6291950179876401,0.45719051917708015,0.47596576791163875,67.16780598933018,68.3661317867725,1,1,1,1,Community Voice,3
67,NC-13,65+,Black,Medium,Male,Some college,future_forward,0.5815844669001982,0.14117837821800863,0.8515330227285607,50.85794911564926,60.69777553295253,1,0,1,1,Future Forward,3
68,AZ-01,30-44,White,High,Female,High school,control,0.553604355952278,0.0736984824996119,0.6947045938700007,56.957916900745396,53.5598897722817,1,0,1,0,Control,1
69,WI-03,45-64,Black,High,Male,Some college,economic_security,0.5612171488788948,0.27681162344782,0.4005921025708697,38.91117288133837,73.67172215021476,1,0,0,1,Economic Security,2
70,GA-06,18-29,Black,Medium,Male,High school,control,0.5702705130383476,0.11199885570001068,0.7260858321295443,10.0,62.97441496799113,1,1,1,1,Control,0
71,PA-07,30-44,Latino,High,Female,Graduate,control,0.7770645518783378,0.1715549216079961,0.37021361203242686,62.758697486638404,37.68032105928009,0,0,0,0,Control,1
72,MI-08,65+,Multi/Other,Medium,Female,College+,community_voice,0.7790178847770289,0.11800210058540728,0.628312882396341,62.00995095531005,61.48674659622862,1,0,1,1,Community Voice,3
73,WI-03,30-44,Black,Medium,Female,High school,future_forward,0.2513565351815586,0.4003957725902066,0.15336996112091925,39.573084277521076,67.14781604320848,0,0,0,0,Future Forward,1
74,PA-07,18-29,Latino,Medium,Female,High school,future_forward,0.8573252974379066,0.02060964238748671,0.1882636203144931,56.253571607006236,94.15689389962607,1,0,0,1,Future Forward,0
75,GA-06,30-44,Asian,Medium,Female,Graduate,economic_security,0.47328848985129623,0.07822219995277588,0.3566332599406682,48.79383856505592,60.47092805739179,0,0,0,0,Economic Security,1
76,TX-32,45-64,Black,Medium,Female,Some college,control,0.3845555552205013,0.3481039538170854,0.4917206390366568,73.4396458496568,84.25469560866372,0,0,0,0,Control,2
77,WI-03,65+,Multi/Other,Medium,Male,College+,future_forward,0.5892122452815503,0.4228939946914024,0.6600522898958431,61.16571216068378,60.56641897575391,1,0,1,1,Future Forward,3
78,WI-03,18-29,White,High,Female,Some college,future_forward,0.4478144777905552,0.42808281403715315,0.48567369850252856,47.96776971902387,49.71923999854441,0,0,0,0,Future Forward,0
79,NC-13,45-64,White,High,Female,College+,community_voice,0.3100103314888785,0.7016007275088059,0.7935975765100604,62.84608589895315,64.4703043194414,1,0,0,1,Community Voice,2
80,GA-06,45-64,Latino,Medium,Male,Some college,future_forward,0.4917877243729689,0.20046668574207832,0.44936587118981264,46.8035426632595,57.78783820948016,1,1,0,1,Future Forward,2
81,GA-06,45-64,White,Low,Female,High school,economic_security,0.5344109172005618,0.19412757909816622,0.2602961066357901,52.35174631306501,57.138296239160745,0,0,0,0,Economic Security,2
82,WI-03,65+,White,Medium,Male,High school,community_voice,0.5966304945376831,0.418458184014029,0.42645244096178436,35.627248293480605,44.45672434460218,1,0,1,1,Community Voice,3
83,NC-13,45-64,White,Low,Female,College+,control,0.9133955242782669,0.32965613947756656,0.7901341196301316,56.47559507553758,58.29947693892386,1,0,0,1,Control,2
84,GA-06,45-64,Asian,High,Male,Graduate,community_voice,0.5119348151543437,0.3403945329933491,0.3259322810142775,71.63057430437311,60.008360082221195,1,0,1,1,Community Voice,2
85,WI-03,30-44,White,High,Male,Some college,economic_security,0.526176555959986,0.05937280529277851,0.49844737336072786,39.574276893519595,47.082793385636144,1,0,1,1,Economic Security,1
86,PA-07,45-64,White,Medium,Female,Some college,community_voice,0.4178056721151078,0.2441192595990751,0.6252739822410317,61.310694612496306,48.4137538695794,0,0,0,0,Community Voice,2
87,NC-13,30-44,Latino,Low,Male,Some college,control,0.8605420030847638,0.5183676964153722,0.7762754778823675,62.531096412710916,63.175572013864176,1,1,1,1,Control,1
88,MI-08,30-44,Latino,Medium,Female,College+,future_forward,0.6661283902076948,0.3234960921562676,0.7493486133893714,59.732628777220015,52.077249344521775,1,0,1,1,Future Forward,1
89,NC-13,30-44,White,Low,Female,High school,community_voice,0.5299027041773242,0.10398315368887412,0.47206002792531004,73.79547212536036,64.7891167081984,1,0,1,1,Community Voice,1
90,GA-06,45-64,White,Medium,Female,Some college,future_forward,0.7595696277582724,0.1817358818058675,0.19776710171755638,61.65122833226857,12.659383370596423,0,0,0,0,Future Forward,2
91,AZ-01,18-29,Latino,Medium,Male,High school,control,0.7863716752429691,0.3584006160604241,0.5986848755405018,99.0,59.811061398520074,1,0,1,0,Control,0
92,WI-03,45-64,Multi/Other,Medium,Male,College+,economic_security,0.5592757440161229,0.3153623373691508,0.36590220319546085,56.20005995525194,42.95590104731622,1,0,1,1,Economic Security,2
93,NC-13,45-64,White,Medium,Male,College+,control,0.3530859552296533,0.2751443313507513,0.4179937644065189,36.19635439513709,78.77809624527922,1,0,1,1,Control,2
94,NC-13,18-29,White,Medium,Male,College+,economic_security,0.5456339767202267,0.170697906700027,0.3974863097418571,47.73473384645067,81.8530582350647,0,0,0,0,Economic Security,0
95,MI-08,30-44,Asian,Low,Female,Some college,community_voice,0.3420791538898976,0.3131122588479145,0.5302473710195285,65.09481931445806,57.893308609244166,1,1,0,1,Community Voice,1
96,TX-32,45-64,Latino,Medium,Male,College+,community_voice,0.6331538614907246,0.39104152388801594,0.38815281714340394,40.26816833516804,58.597050497184,1,0,1,1,Community Voice,2
97,AZ-01,30-44,White,Medium,Male,Graduate,community_voice,0.6159597897247108,0.0458117340525269,0.6106717543130822,52.01622549172494,71.9159933592126,0,1,0,0,Community Voice,1
98,MI-08,45-64,White,High,Male,Some college,future_forward,0.7175339527566903,0.041691641224557256,0.4958433027564383,27.87814912727529,48.744722880238726,0,0,0,0,Future Forward,2
99,AZ-01,30-44,White,High,Female,College+,future_forward,0.643754632409039,0.28580432912572845,0.4415194407424117,26.609519644369794,65.324410904187,1,1,1,1,Future Forward,1
100,GA-06,65+,White,Medium,Male,College+,economic_security,0.6369608535401191,0.19712545583346522,0.5552070354434417,63.918389505290705,46.19439587963676,0,0,0,0,Economic Security,3
101,WI-03,30-44,Latino,High,Female,Some college,future_forward,0.7145851930261083,0.6106000496254711,0.3699442313420122,38.41636120300987,35.92490069885287,0,0,0,0,Future Forward,1
102,PA-07,65+,Multi/Other,Low,Female,Some college,community_voice,0.6716450701233473,0.2537331229836468,0.6396718400626131,58.48313195759889,68.76137727792829,0,0,0,0,Community Voice,3
103,NC-13,30-44,White,Medium,Male,Some college,community_voice,0.4170609159680036,0.1967016133898274,0.6028382953468718,94.35213062565495,68.62962154900168,1,0,1,0,Community Voice,1
104,NC-13,30-44,White,Medium,Female,Some college,future_forward,0.6672110900396175,0.2313216664002476,0.3777904537114112,71.77585309359256,81.50610394547371,0,0,0,0,Future Forward,1
105,WI-03,18-29,White,Low,Female,Some college,community_voice,0.6627685886115504,0.5152165048267053,0.7669336273770118,40.32394577215701,75.1361125147037,1,1,0,0,Community Voice,0
106,MI-08,45-64,Asian,Low,Female,High school,future_forward,0.6989930788732908,0.1665955567270108,0.7550556266942896,20.364131718321616,69.8086030921917,1,1,0,1,Future Forward,2
107,PA-07,18-29,Latino,Low,Male,High school,community_voice,0.45325779881131395,0.33155693646495404,0.5029882577542428,30.557582171240348,46.7975116747158,0,0,0,1,Community Voice,0
108,PA-07,45-64,Asian,Low,Female,Some college,economic_security,0.723393050195373,0.18135613904572126,0.6088234837744521,50.95301381433828,55.07811682739203,1,0,0,1,Economic Security,2
109,MI-08,30-44,Latino,Low,Female,College+,future_forward,0.5190147326844421,0.11510116167859269,0.14381153937000543,56.012129626579004,83.04150490058562,1,1,1,1,Future Forward,1
110,NC-13,65+,White,Low,Female,Some college,future_forward,0.8965114364286378,0.3322892392614551,0.6314430317695959,34.42659492729268,54.70322804481064,1,0,1,1,Future Forward,3
111,TX-32,45-64,White,Medium,Female,Some college,economic_security,0.4916952263706088,0.3029773548044911,0.40303097368881063,59.511761248000404,49.07196187665448,1,0,0,1,Economic Security,2
112,WI-03,65+,Latino,Medium,Male,Some college,economic_security,0.42624496890836694,0.1468699045822162,0.21718734630797593,32.06625806471489,55.17827391611029,0,0,0,0,Economic Security,3
113,GA-06,30-44,Asian,Medium,Male,High school,community_voice,0.6237863972540337,0.29077890133764867,0.3144020426458676,28.016084157802823,75.36509860966059,1,0,0,1,Community Voice,1
114,WI-03,18-29,White,High,Female,Graduate,economic_security,0.6904886391214905,0.2611879561751928,0.6173754889175003,61.21458919528614,52.93111601378824,0,1,0,0,Economic Security,0
115,AZ-01,65+,White,Medium,Female,Graduate,economic_security,0.4912820133326936,0.3292612433882525,0.3721969887635272,48.47602149472293,48.018018666435026,1,0,1,1,Economic Security,3
116,TX-32,65+,White,High,Female,College+,control,0.7778144450371499,0.14910647708950736,0.5443941796000168,69.91486618339599,68.2758057955623,0,0,0,0,Control,3
117,TX-32,45-64,Latino,High,Female,Graduate,future_forward,0.3580568836351482,0.28861686077814874,0.7086014547411288,56.284679119275815,63.27916941342005,1,0,1,0,Future Forward,2
118,GA-06,45-64,White,Medium,Male,Some college,control,0.765399700155736,0.3185791105164891,0.8068053573447198,13.113010355183548,69.9103896840134,0,0,0,0,Control,2
119,NC-13,30-44,Black,High,Female,High school,community_voice,0.4149282991102568,0.3097880713898849,0.841976966621048,66.41471099884517,78.50576189364305,1,0,1,1,Community Voice,1
120,TX-32,18-29,Black,Medium,Female,Graduate,control,0.5321439316386344,0.15726092979825698,0.4171737759261673,43.40927987689672,53.26079468402675,0,0,0,0,Control,0
121,AZ-01,45-64,Asian,Medium,Male,College+,economic_security,0.284331746484127,0.22780164719692897,0.6999086727590246,70.14574965932647,96.23068816184846,0,0,0,0,Economic Security,2
122,PA-07,45-64,White,Low,Female,High school,economic_security,0.9006201206877215,0.30856952107937347,0.4423133918054448,69.19524217885068,47.499955769491635,1,1,1,0,Economic Security,2
123,TX-32,30-44,Black,Medium,Female,Some college,future_forward,0.626286048768203,0.13117631010873282,0.46585691663322654,50.63353270820097,79.47660573636409,0,1,0,0,Future Forward,1
124,NC-13,30-44,Black,Medium,Male,College+,future_forward,0.6359465072958936,0.05538792851505408,0.7836084526882714,44.771535555465206,83.49639344474438,1,0,1,1,Future Forward,1
125,TX-32,45-64,White,Medium,Male,College+,future_forward,0.3242544144576168,0.20835588322352988,0.867583711452536,51.944368737197664,46.371717213436625,1,0,1,1,Future Forward,2
126,GA-06,18-29,White,High,Male,College+,community_voice,0.41709784362198027,0.2617502531028549,0.2857210395170228,53.35650776940942,74.71051346575562,0,0,0,0,Community Voice,0
127,GA-06,18-29,White,Low,Female,High school,economic_security,0.31063155439092777,0.34377754816970485,0.5088366038660138,37.34582246371727,81.56757679388194,0,0,0,0,Economic Security,0
128,MI-08,18-29,Latino,Low,Male,College+,control,0.6161105672002417,0.2730321967895864,0.6819363639873924,87.90038646794014,41.48214601519868,1,0,1,1,Control,0
129,GA-06,65+,Multi/Other,Low,Female,Graduate,community_voice,0.6940150980890424,0.4326922341509581,0.5397998310073152,74.52638745286016,58.02125811871236,1,0,1,1,Community Voice,3
130,MI-08,18-29,Multi/Other,Low,Female,Some college,economic_security,0.9058379596037851,0.09467245834491184,0.6601400657179723,60.16627820175324,81.10316650218455,1,0,1,1,Economic Security,0
131,WI-03,65+,Asian,Medium,Female,High school,community_voice,0.3305594242618186,0.36920291742580724,0.29768940125609455,64.52126173529787,72.51032074843562,1,0,1,1,Community Voice,3
132,PA-07,18-29,Asian,Medium,Female,Graduate,community_voice,0.8772735962232276,0.12183660242585018,0.14614255979745497,66.74948627155655,73.36978614416869,0,0,0,0,Community Voice,0
133,MI-08,45-64,White,Medium,Female,High school,economic_security,0.5645065778145504,0.26107648076235745,0.6640142482515341,47.228046454872754,70.02861993405571,1,0,1,1,Economic Security,2
134,MI-08,30-44,Asian,High,Female,High school,future_forward,0.30788945299879783,0.2195034875899618,0.7585372300529548,49.34128334339596,68.42442557944962,0,0,0,1,Future Forward,1
135,WI-03,30-44,White,Low,Male,High school,future_forward,0.4687083101493432,0.36986688513120064,0.6463614662609263,53.70463941793141,32.51914567563464,0,0,0,1,Future Forward,1
136,NC-13,18-29,Latino,Low,Female,High school,economic_security,0.4456163803806894,0.310466626793228,0.8269909234497446,80.67692198568443,36.20174726759175,0,0,0,0,Economic Security,0
137,WI-03,30-44,Latino,Medium,Female,College+,economic_security,0.5929741866338557,0.17111707519813282,0.5731003340606403,43.419956261954724,47.71796839679206,1,0,1,1,Economic Security,1
138,NC-13,45-64,Latino,Medium,Female,Some college,community_voice,0.47661096551258775,0.35145994310982553,0.409629246157163,73.54285050109841,49.358368771021546,0,0,0,1,Community Voice,2
139,NC-13,45-64,Black,High,Male,High school,economic_security,0.5698011839565089,0.26677738168214277,0.5235988253233499,48.14516480271205,61.70070048049115,1,0,0,1,Economic Security,2
140,WI-03,45-64,White,Low,Male,Some college,future_forward,0.6918085198899775,0.28069120441763173,0.6884927369471018,65.97947253520944,76.08877869544844,0,0,0,1,Future Forward,2
141,TX-32,45-64,Black,Medium,Female,Some college,future_forward,0.43707419102962414,0.3187724193361853,0.6307075008044235,25.981329479964522,55.00671738093404,1,0,1,0,Future Forward,2
142,PA-07,18-29,Asian,Medium,Female,College+,future_forward,0.4232668537025484,0.28578228596764094,0.5228408122822917,53.97807058476042,64.18768659288062,1,0,0,1,Future Forward,0
143,NC-13,65+,Latino,High,Female,Some college,economic_security,0.4825844823182777,0.32287000304077684,0.656584293746793,48.03120576319536,58.49924964346696,0,0,0,0,Economic Security,3
144,WI-03,30-44,Black,Low,Female,College+,future_forward,0.841496399232692,0.11345476483482833,0.32549751236898733,70.65257621918552,66.36158349552886,1,0,1,1,Future Forward,1
145,NC-13,65+,White,Low,Female,Graduate,community_voice,0.21838124362836717,0.2115537593645545,0.4744688176251119,45.974925729878564,46.89063702870402,0,0,0,0,Community Voice,3
146,WI-03,65+,Black,Low,Male,Some college,future_forward,0.7048914808211587,0.32796516807129994,0.549770850166476,74.92124398359825,82.67051895829414,1,0,1,1,Future Forward,3
147,AZ-01,18-29,Multi/Other,Medium,Male,Graduate,control,0.22958819426399127,0.27127261629521976,0.6302491616501659,75.16571498704783,54.419517553782796,1,0,1,1,Control,0
148,NC-13,30-44,White,High,Female,College+,control,0.1536067730580411,0.3110911606220308,0.43405258034239497,80.55211356102333,78.13067236253195,0,0,0,0,Control,1
149,NC-13,30-44,Latino,Medium,Female,High school,control,0.5557250278546346,0.3056803304190487,0.5881541597491918,77.63832800261851,74.4294634903203,1,0,1,0,Control,1
150,WI-03,45-64,Latino,Low,Male,Some college,economic_security,0.98,0.03551855161410465,0.6673257171297706,10.0,49.36305516598528,1,0,0,0,Economic Security,2
151,MI-08,65+,Multi/Other,Low,Female,College+,community_voice,0.6952728819186027,0.4809169737379796,0.742848548313064,52.3567927900264,73.11096668359721,1,0,1,1,Community Voice,3
152,TX-32,18-29,Latino,Low,Female,Some college,community_voice,0.8349578773652027,0.05311583341392018,0.3441491189723068,72.49788286801511,46.37692377875416,1,0,0,0,Community Voice,0
153,PA-07,45-64,Black,High,Female,College+,future_forward,0.5806917339884826,0.0900118594190315,0.19410054242400335,36.28066817988582,86.3080339046043,1,0,1,1,Future Forward,2
154,PA-07,30-44,Black,Medium,Male,High school,control,0.5957883628979374,0.31387287531101976,0.4934132781097939,44.52662711203282,44.9839047551279,0,0,0,0,Control,1
155,PA-07,18-29,White,Low,Male,High school,control,0.5512376525735387,0.18297967425858674,0.5313198731139592,85.84746824244414,58.49636013304262,1,0,0,1,Control,0
156,WI-03,45-64,Black,High,Male,Some college,community_voice,0.5420546667443218,0.1026409811623956,0.5942084308216143,37.78553306881159,57.6401915644056,0,0,0,0,Community Voice,2
157,MI-08,45-64,White,Medium,Male,High school,control,0.5133409592869104,0.12070953787545961,0.1430302984218319,67.42692882369185,74.39539825061384,1,0,0,1,Control,2
158,MI-08,18-29,White,Low,Female,Some college,economic_security,0.38398816304200306,0.2605165687069918,0.3496524621109617,32.825817187459464,65.52184130617022,0,0,0,0,Economic Security,0
159,GA-06,18-29,Asian,Medium,Male,High school,future_forward,0.5867698870733131,0.1970291707966666,0.5006881933162554,71.34162879311415,53.90295750103329,1,0,1,1,Future Forward,0
